station_id,name,station_class,latitude_deg,longitude_deg,altitude_m,region,country_code,enabled
CIV_PILOT_026,Synthetic Pilot Civilian 026,civilian,5.5,-26,400,region_06,ZZ,true
CIV_PILOT_027,Synthetic Pilot Civilian 027,civilian,19,-26,475,region_07,ZZ,true
CIV_PILOT_028,Synthetic Pilot Civilian 028,civilian,32.5,-26,550,region_08,ZZ,true
CIV_PILOT_029,Synthetic Pilot Civilian 029,civilian,46,-26,625,region_09,ZZ,true
CIV_PILOT_030,Synthetic Pilot Civilian 030,civilian,59.5,-26,700,region_10,ZZ,true
CIV_PILOT_031,Synthetic Pilot Civilian 031,civilian,-62,46,25,region_01,ZZ,true
CIV_PILOT_032,Synthetic Pilot Civilian 032,civilian,-48.5,46,100,region_02,ZZ,true
CIV_PILOT_033,Synthetic Pilot Civilian 033,civilian,-35,46,175,region_03,ZZ,true
CIV_PILOT_034,Synthetic Pilot Civilian 034,civilian,-21.5,46,250,region_04,ZZ,true
CIV_PILOT_035,Synthetic Pilot Civilian 035,civilian,-8,46,325,region_05,ZZ,true
CIV_PILOT_036,Synthetic Pilot Civilian 036,civilian,5.5,46,400,region_06,ZZ,true
CIV_PILOT_037,Synthetic Pilot Civilian 037,civilian,19,46,475,region_07,ZZ,true
CIV_PILOT_038,Synthetic Pilot Civilian 038,civilian,32.5,46,550,region_08,ZZ,true
CIV_PILOT_039,Synthetic Pilot Civilian 039,civilian,46,46,625,region_09,ZZ,true
CIV_PILOT_040,Synthetic Pilot Civilian 040,civilian,59.5,46,700,region_10,ZZ,true
CIV_PILOT_041,Synthetic Pilot Civilian 041,civilian,-62,118,25,region_01,ZZ,true
CIV_PILOT_042,Synthetic Pilot Civilian 042,civilian,-48.5,118,100,region_02,ZZ,true
CIV_PILOT_043,Synthetic Pilot Civilian 043,civilian,-35,118,175,region_03,ZZ,true
CIV_PILOT_044,Synthetic Pilot Civilian 044,civilian,-21.5,118,250,region_04,ZZ,true
CIV_PILOT_045,Synthetic Pilot Civilian 045,civilian,-8,118,325,region_05,ZZ,true
CIV_PILOT_046,Synthetic Pilot Civilian 046,civilian,5.5,118,400,region_06,ZZ,true
CIV_PILOT_047,Synthetic Pilot Civilian 047,civilian,19,118,475,region_07,ZZ,true
CIV_PILOT_048,Synthetic Pilot Civilian 048,civilian,32.5,118,550,region_08,ZZ,true
CIV_PILOT_049,Synthetic Pilot Civilian 049,civilian,46,118,625,region_09,ZZ,true
CIV_PILOT_050,Synthetic Pilot Civilian 050,civilian,59.5,118,700,region_10,ZZ,true
GOV_PILOT_001,Synthetic Pilot Government 001,government,-60.75,-166,35,region_01,ZZ,true
GOV_PILOT_002,Synthetic Pilot Government 002,government,-47.25,-166,110,region_02,ZZ,true
GOV_PILOT_003,Synthetic Pilot Government 003,government,-33.75,-166,185,region_03,ZZ,true
GOV_PILOT_004,Synthetic Pilot Government 004,government,-20.25,-166,260,region_04,ZZ,true
GOV_PILOT_005,Synthetic Pilot Government 005,government,-6.75,-166,335,region_05,ZZ,true
GOV_PILOT_006,Synthetic Pilot Government 006,government,6.75,-166,410,region_06,ZZ,true
GOV_PILOT_007,Synthetic Pilot Government 007,government,20.25,-166,485,region_07,ZZ,true
GOV_PILOT_008,Synthetic Pilot Government 008,government,33.75,-166,560,region_08,ZZ,true
GOV_PILOT_009,Synthetic Pilot Government 009,government,47.25,-166,635,region_09,ZZ,true
GOV_PILOT_010,Synthetic Pilot Government 010,government,60.75,-166,710,region_10,ZZ,true
GOV_PILOT_011,Synthetic Pilot Government 011,government,-60.75,-94,35,region_01,ZZ,true
GOV_PILOT_012,Synthetic Pilot Government 012,government,-47.25,-94,110,region_02,ZZ,true
GOV_PILOT_013,Synthetic Pilot Government 013,government,-33.75,-94,185,region_03,ZZ,true
GOV_PILOT_014,Synthetic Pilot Government 014,government,-20.25,-94,260,region_04,ZZ,true
GOV_PILOT_015,Synthetic Pilot Government 015,government,-6.75,-94,335,region_05,ZZ,true
GOV_PILOT_016,Synthetic Pilot Government 016,government,6.75,-94,410,region_06,ZZ,true
GOV_PILOT_017,Synthetic Pilot Government 017,government,20.25,-94,485,region_07,ZZ,true
GOV_PILOT_018,Synthetic Pilot Government 018,government,33.75,-94,560,region_08,ZZ,true
GOV_PILOT_019,Synthetic Pilot Government 019,government,47.25,-94,635,region_09,ZZ,true
GOV_PILOT_020,Synthetic Pilot Government 020,government,60.75,-94,710,region_10,ZZ,true
GOV_PILOT_021,Synthetic Pilot Government 021,government,-60.75,-22,35,region_01,ZZ,true
GOV_PILOT_022,Synthetic Pilot Government 022,government,-47.25,-22,110,region_02,ZZ,true
GOV_PILOT_023,Synthetic Pilot Government 023,government,-33.75,-22,185,region_03,ZZ,true
GOV_PILOT_024,Synthetic Pilot Government 024,government,-20.25,-22,260,region_04,ZZ,true
GOV_PILOT_025,Synthetic Pilot Government 025,government,-6.75,-22,335,region_05,ZZ,true
GOV_PILOT_026,Synthetic Pilot Government 026,government,6.75,-22,410,region_06,ZZ,true
GOV_PILOT_027,Synthetic Pilot Government 027,government,20.25,-22,485,region_07,ZZ,true
GOV_PILOT_028,Synthetic Pilot Government 028,government,33.75,-22,560,region_08,ZZ,true
GOV_PILOT_029,Synthetic Pilot Government 029,government,47.25,-22,635,region_09,ZZ,true
GOV_PILOT_030,Synthetic Pilot Government 030,government,60.75,-22,710,region_10,ZZ,true
GOV_PILOT_031,Synthetic Pilot Government 031,government,-60.75,50,35,region_01,ZZ,true
GOV_PILOT_032,Synthetic Pilot Government 032,government,-47.25,50,110,region_02,ZZ,true
GOV_PILOT_033,Synthetic Pilot Government 033,government,-33.75,50,185,region_03,ZZ,true
GOV_PILOT_034,Synthetic Pilot Government 034,government,-20.25,50,260,region_04,ZZ,true
GOV_PILOT_035,Synthetic Pilot Government 035,government,-6.75,50,335,region_05,ZZ,true
GOV_PILOT_036,Synthetic Pilot Government 036,government,6.75,50,410,region_06,ZZ,true
GOV_PILOT_037,Synthetic Pilot Government 037,government,20.25,50,485,region_07,ZZ,true
GOV_PILOT_038,Synthetic Pilot Government 038,government,33.75,50,560,region_08,ZZ,true
GOV_PILOT_039,Synthetic Pilot Government 039,government,47.25,50,635,region_09,ZZ,true
GOV_PILOT_040,Synthetic Pilot Government 040,government,60.75,50,710,region_10,ZZ,true
GOV_PILOT_041,Synthetic Pilot Government 041,government,-60.75,122,35,region_01,ZZ,true
GOV_PILOT_042,Synthetic Pilot Government 042,government,-47.25,122,110,region_02,ZZ,true
GOV_PILOT_043,Synthetic Pilot Government 043,government,-33.75,122,185,region_03,ZZ,true
GOV_PILOT_044,Synthetic Pilot Government 044,government,-20.25,122,260,region_04,ZZ,true
GOV_PILOT_045,Synthetic Pilot Government 045,government,-6.75,122,335,region_05,ZZ,true
GOV_PILOT_046,Synthetic Pilot Government 046,government,6.75,122,410,region_06,ZZ,true
GOV_PILOT_047,Synthetic Pilot Government 047,government,20.25,122,485,region_07,ZZ,true
GOV_PILOT_048,Synthetic Pilot Government 048,government,33.75,122,560,region_08,ZZ,true
GOV_PILOT_049,Synthetic Pilot Government 049,government,47.25,122,635,region_09,ZZ,true
GOV_PILOT_050,Synthetic Pilot Government 050,government,60.75,122,710,region_10,ZZ,true
MIL_PILOT_001,Synthetic Pilot Military 001,military,-59.5,-162,45,region_01,ZZ,true
MIL_PILOT_002,Synthetic Pilot Military 002,military,-46,-162,120,region_02,ZZ,true
MIL_PILOT_003,Synthetic Pilot Military 003,military,-32.5,-162,195,region_03,ZZ,true
MIL_PILOT_004,Synthetic Pilot Military 004,military,-19,-162,270,region_04,ZZ,true
MIL_PILOT_005,Synthetic Pilot Military 005,military,-5.5,-162,345,region_05,ZZ,true
MIL_PILOT_006,Synthetic Pilot Military 006,military,8,-162,420,region_06,ZZ,true
MIL_PILOT_007,Synthetic Pilot Military 007,military,21.5,-162,495,region_07,ZZ,true
MIL_PILOT_008,Synthetic Pilot Military 008,military,35,-162,570,region_08,ZZ,true
MIL_PILOT_009,Synthetic Pilot Military 009,military,48.5,-162,645,region_09,ZZ,true
MIL_PILOT_010,Synthetic Pilot Military 010,military,62,-162,720,region_10,ZZ,true
MIL_PILOT_011,Synthetic Pilot Military 011,military,-59.5,-90,45,region_01,ZZ,true
MIL_PILOT_012,Synthetic Pilot Military 012,military,-46,-90,120,region_02,ZZ,true
MIL_PILOT_013,Synthetic Pilot Military 013,military,-32.5,-90,195,region_03,ZZ,true
MIL_PILOT_014,Synthetic Pilot Military 014,military,-19,-90,270,region_04,ZZ,true
MIL_PILOT_015,Synthetic Pilot Military 015,military,-5.5,-90,345,region_05,ZZ,true
MIL_PILOT_016,Synthetic Pilot Military 016,military,8,-90,420,region_06,ZZ,true
MIL_PILOT_017,Synthetic Pilot Military 017,military,21.5,-90,495,region_07,ZZ,true
MIL_PILOT_018,Synthetic Pilot Military 018,military,35,-90,570,region_08,ZZ,true
MIL_PILOT_019,Synthetic Pilot Military 019,military,48.5,-90,645,region_09,ZZ,true
MIL_PILOT_020,Synthetic Pilot Military 020,military,62,-90,720,region_10,ZZ,true
MIL_PILOT_021,Synthetic Pilot Military 021,military,-59.5,-18,45,region_01,ZZ,true
MIL_PILOT_022,Synthetic Pilot Military 022,military,-46,-18,120,region_02,ZZ,true
MIL_PILOT_023,Synthetic Pilot Military 023,military,-32.5,-18,195,region_03,ZZ,true
MIL_PILOT_024,Synthetic Pilot Military 024,military,-19,-18,270,region_04,ZZ,true
MIL_PILOT_025,Synthetic Pilot Military 025,military,-5.5,-18,345,region_05,ZZ,true
MIL_PILOT_026,Synthetic Pilot Military 026,military,8,-18,420,region_06,ZZ,true
MIL_PILOT_027,Synthetic Pilot Military 027,military,21.5,-18,495,region_07,ZZ,true
MIL_PILOT_028,Synthetic Pilot Military 028,military,35,-18,570,region_08,ZZ,true
MIL_PILOT_029,Synthetic Pilot Military 029,military,48.5,-18,645,region_09,ZZ,true
MIL_PILOT_030,Synthetic Pilot Military 030,military,62,-18,720,region_10,ZZ,true
MIL_PILOT_031,Synthetic Pilot Military 031,military,-59.5,54,45,region_01,ZZ,true
MIL_PILOT_032,Synthetic Pilot Military 032,military,-46,54,120,region_02,ZZ,true
MIL_PILOT_033,Synthetic Pilot Military 033,military,-32.5,54,195,region_03,ZZ,true
MIL_PILOT_034,Synthetic Pilot Military 034,military,-19,54,270,region_04,ZZ,true
MIL_PILOT_035,Synthetic Pilot Military 035,military,-5.5,54,345,region_05,ZZ,true
MIL_PILOT_036,Synthetic Pilot Military 036,military,8,54,420,region_06,ZZ,true
MIL_PILOT_037,Synthetic Pilot Military 037,military,21.5,54,495,region_07,ZZ,true
MIL_PILOT_038,Synthetic Pilot Military 038,military,35,54,570,region_08,ZZ,true
MIL_PILOT_039,Synthetic Pilot Military 039,military,48.5,54,645,region_09,ZZ,true
MIL_PILOT_040,Synthetic Pilot Military 040,military,62,54,720,region_10,ZZ,true
MIL_PILOT_041,Synthetic Pilot Military 041,military,-59.5,126,45,region_01,ZZ,true
MIL_PILOT_042,Synthetic Pilot Military 042,military,-46,126,120,region_02,ZZ,true
MIL_PILOT_043,Synthetic Pilot Military 043,military,-32.5,126,195,region_03,ZZ,true
MIL_PILOT_044,Synthetic Pilot Military 044,military,-19,126,270,region_04,ZZ,true
MIL_PILOT_045,Synthetic Pilot Military 045,military,-5.5,126,345,region_05,ZZ,true
MIL_PILOT_046,Synthetic Pilot Military 046,military,8,126,420,region_06,ZZ,true
MIL_PILOT_047,Synthetic Pilot Military 047,military,21.5,126,495,region_07,ZZ,true
MIL_PILOT_048,Synthetic Pilot Military 048,military,35,126,570,region_08,ZZ,true
MIL_PILOT_049,Synthetic Pilot Military 049,military,48.5,126,645,region_09,ZZ,true
MIL_PILOT_050,Synthetic Pilot Military 050,military,62,126,720,region_10,ZZ,true
